UEN,entity_name,ssic_code,ssic_code2,oth_desc,oth_desc2,gsearch
197803023H,ABR HOLDINGS LIMITED,47219,64202,RESTAURANTS AND MANUFACTURING OF ICE CREAM,,https://www.google.com/search?q=ABR HOLDINGS LIMITED+uen
197501572K,ABUNDANCE INTERNATIONAL LIMITED,46649,18113,"MANUFACTURING, TRADING, STORAGE OF CHEMICALS AND RELATED BUSINESS",,https://www.google.com/search?q=ABUNDANCE INTERNATIONAL LIMITED+uen
197902587H,ABUNDANTE LIMITED,23940,41009,MANUFACTURE OF READY MIXED CONCRETE CONCRETE PRODUCTS AND RELATED SERVICES,,https://www.google.com/search?q=ABUNDANTE LIMITED+uen
201413466E,ACCRELIST MEDICAL AESTHETICS (SPC) PTE. LTD.,96022,86202,,,https://www.google.com/search?q=ACCRELIST MEDICAL AESTHETICS (SPC) PTE. LTD.+uen
199505699D,ACESIAN PARTNERS LIMITED,41009,25111,GENERAL WHOLESALE TRADE (INCLUDING GENERAL IMPORTERS AND EXPORTERS),MANUFACTURING OF VENTILATED CAGES AND EXHAUST SYSTEM,https://www.google.com/search?q=ACESIAN PARTNERS LIMITED+uen
198600740M,ADVANCED SYSTEMS AUTOMATION LIMITED,32909,,DESIGN AND MANUFACTURING OF AUTOMATIC MOULDING MACHINES,,https://www.google.com/search?q=ADVANCED SYSTEMS AUTOMATION LIMITED+uen
200608233K,ALLIANCE HEALTHCARE GROUP LIMITED,86909,86201,HEALTHCARE BUSINESS,OPERATE CLINIC,https://www.google.com/search?q=ALLIANCE HEALTHCARE GROUP LIMITED+uen
197702066M,ANNAIK LIMITED,46620,25994,,,https://www.google.com/search?q=ANNAIK LIMITED+uen
197502257M,AP OIL INTERNATIONAL LIMITED,19202,46610,"INCL. WHSLE OF OIL & FUEL, DEALING IN PARAFFIN WAX, LUBRICATING OILS & GREASES",INCL. PETROLEUM PRODUCTS & PETROCHEMICALS,https://www.google.com/search?q=AP OIL INTERNATIONAL LIMITED+uen
199006030Z,BEST WORLD INTERNATIONAL LIMITED,46424,46306,"E.G. IMPORT, EXPORT, ONLINE SALES, ASSEMBLY, ETC.,","E.G. IMPORT, EXPORT, ONLINE SALES, ASSEMBLY, ETC.,",https://www.google.com/search?q=BEST WORLD INTERNATIONAL LIMITED+uen
193800054G,BRC ASIA LIMITED,24109,41009,IRON/STEEL BASIC INDUSTRIES NEC (INCL SMELTING),,https://www.google.com/search?q=BRC ASIA LIMITED+uen
197903888Z,CAMSING HEALTHCARE LIMITED,64201,,HOLDING COMPANIES,,https://www.google.com/search?q=CAMSING HEALTHCARE LIMITED+uen
199406212Z,CASA HOLDINGS LIMITED,64201,,HOLDING COMPANIES,,https://www.google.com/search?q=CASA HOLDINGS LIMITED+uen
197600666D,CH OFFSHORE LTD.,50021,64202,SHIP OWNING & CHARTERING,INVESTMENT HOLDING,https://www.google.com/search?q=CH OFFSHORE LTD.+uen
196200046K,CHEMICAL INDUSTRIES (FAR EAST) LIMITED.,20131,,MANUF BASIC INDUSTRIAL CHEMICALS,,https://www.google.com/search?q=CHEMICAL INDUSTRIES (FAR EAST) LIMITED.+uen
199303293Z,CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,46610,52109,,PETROLEUM & PETROLEUM-RELATED PRODUCTS & EQUIPMENT AND INVESTMENT,https://www.google.com/search?q=CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD+uen
196300316Z,CITY DEVELOPMENTS LIMITED,68101,64202,PROPERTY DEVELOPERS AND OWNERS,INVESTMENT HOLDING,https://www.google.com/search?q=CITY DEVELOPMENTS LIMITED+uen
197201771W,CORTINA HOLDINGS LIMITED,70209,64202,PROVISION OF MANAGEMENT AND FINANCIAL RELATED SERVICES TO ITS SUBSIDIARIES,,https://www.google.com/search?q=CORTINA HOLDINGS LIMITED+uen
198303359D,CREATIVE TECHNOLOGY LTD.,82999,,"DESIGN,MANUF&SALE OF AUDIO, COMPUTERS &PERSONAL DIGITAL ENTERTAINMENT PRODUCTS",,https://www.google.com/search?q=CREATIVE TECHNOLOGY LTD.+uen
198703851D,CSE GLOBAL LIMITED,82999,43909,SYSTEMS INTEGRATION SOLUTION & SALES & PROVISION OF COMPUTER NETWORK SYSTEMS,CONSTRUCTION AND ENGINEERING OF TELECOMMUNICATION NETWORK,https://www.google.com/search?q=CSE GLOBAL LIMITED+uen
198403096C,DELFI LIMITED,10732,64202,,INVESTMENT HOLDING,https://www.google.com/search?q=DELFI LIMITED+uen
197302229H,ENGRO CORPORATION LIMITED,23940,64202,MANUFACTURE AND SALE OF CEMENT,INVESTMENT HOLDING,https://www.google.com/search?q=ENGRO CORPORATION LIMITED+uen
199000027E,F J BENJAMIN HOLDINGS LTD,64201,,INVESTMENT HOLDING COMPANY,HOLDING COMPANIES,https://www.google.com/search?q=F J BENJAMIN HOLDINGS LTD+uen
196400096C,FAR EAST GROUP LIMITED,28191,46900,,,https://www.google.com/search?q=FAR EAST GROUP LIMITED+uen
196700511H,FAR EAST ORCHARD LIMITED,68101,70101,,,https://www.google.com/search?q=FAR EAST ORCHARD LIMITED+uen
198004601C,FU YU CORPORATION LIMITED,28223,64202,MANUF & SALE OF MOULDS & RELATED PRODUCTS,,https://www.google.com/search?q=FU YU CORPORATION LIMITED+uen
199903008M,GREAT EASTERN HOLDINGS LIMITED,64201,64202,,,https://www.google.com/search?q=GREAT EASTERN HOLDINGS LIMITED+uen
197601387M,HEETON HOLDINGS LIMITED,68101,64202,HOLDING COMPANIES,,https://www.google.com/search?q=HEETON HOLDINGS LIMITED+uen
197100300Z,HIAP SENG ENGINEERING LTD,41001,71122,"EPC & MAINTENANCE INCL MECH, CIVIL AND E&I FOR OIL & GAS AND ENERGY SECTORS",EPC SERVICES FOR PROCESS PLANTS AND FACILITIES INCL STORAGE TERMINALS,https://www.google.com/search?q=HIAP SENG ENGINEERING LTD+uen
199408433W,HOE LEONG CORPORATION LTD.,46900,64202,,INVESTMENT HOLDING COMPANY (OTHER THAN THAT OF BANK/FINANCIAL INSTITUTION,https://www.google.com/search?q=HOE LEONG CORPORATION LTD.+uen
196100003D,HONG LEONG FINANCE LIMITED,64150,82999,FINANCING BUSINESS,CORPORATE ADVISORY SERVICES,https://www.google.com/search?q=HONG LEONG FINANCE LIMITED+uen
196800243H,HOTEL GRAND CENTRAL LIMITED,55101,,TO CARRY ON OR UNDERTAKE ANY BUSINESS OR ACTIVITY,,https://www.google.com/search?q=HOTEL GRAND CENTRAL LIMITED+uen
198000348Z,HOTEL PROPERTIES LIMITED,55101,64202,HOTELIER,,https://www.google.com/search?q=HOTEL PROPERTIES LIMITED+uen
196800298G,HOTEL ROYAL LIMITED,55101,,,,https://www.google.com/search?q=HOTEL ROYAL LIMITED+uen
198700827C,IFS CAPITAL LIMITED,64201,,FACTORING SERVICES AND WORKING CAPITAL AND ASSET BASED FINANCING,,https://www.google.com/search?q=IFS CAPITAL LIMITED+uen
196800526Z,INTRACO LIMITED,46900,64202,GENERAL IMPORTERS & EXPORTERS AND COMMISSION AGENT,OTHER INVESTMENT HOLDING COMPANIES,https://www.google.com/search?q=INTRACO LIMITED+uen
197001177H,ISETAN (SINGAPORE) LIMITED,47103,,,,https://www.google.com/search?q=ISETAN (SINGAPORE) LIMITED+uen
199300300W,JACKSPEED CORPORATION LIMITED,15129,46411,,,https://www.google.com/search?q=JACKSPEED CORPORATION LIMITED+uen
196000096G,KHONG GUAN LIMITED,46303,64202,TRADING OF WHEAT FLOUR AND OTHER EDIBLE PRODUCTS,INVESTMENT HOLDING,https://www.google.com/search?q=KHONG GUAN LIMITED+uen
198001299R,KODA LTD,31001,74113,,,https://www.google.com/search?q=KODA LTD+uen
198300104G,KS ENERGY LIMITED,46541,82999,"TRADE IN HYDRAULIC PDT,INSTRUMENTATION, EQUIP FOR SHIPBLD,MARINE,OIL,GAS INDUS",COMMISSION AGTS & TRADING IN HARDWARE PDT & OILFIELD EQUIP & INVESTMENT HLDG,https://www.google.com/search?q=KS ENERGY LIMITED+uen
198700318G,LEY CHOON GROUP HOLDINGS LIMITED,42909,64202,CIVIL ENGINEERING AND CONSTRUCTION,INVESTMENT HOLDINGS,https://www.google.com/search?q=LEY CHOON GROUP HOLDINGS LIMITED+uen
199200075N,MANUFACTURING INTEGRATION TECHNOLOGY LTD.,26119,,MANUF SEMICONDUCTOR DEVICES NEC.,,https://www.google.com/search?q=MANUFACTURING INTEGRATION TECHNOLOGY LTD.+uen
198904222M,MATEX INTERNATIONAL LIMITED,46900,20294,,DYESTUFF MANUFACTURING,https://www.google.com/search?q=MATEX INTERNATIONAL LIMITED+uen
198803293M,MEGACHEM LIMITED,46900,64202,TRADING IN CHEMICALS AND CHEMICAL-RELATED PRODUCTS,,https://www.google.com/search?q=MEGACHEM LIMITED+uen
198804700N,META HEALTH LIMITED,87010,,"HEALTHCARE BUSINESS OF TELEMEDICINE, NURSING SERVICES AND E-PHARMACY",,https://www.google.com/search?q=META HEALTH LIMITED+uen
199006289K,METIS ENERGY LIMITED,82999,,INVESTMENT HOLDING & PROVISION OF MANAGEMENT SERVICES,,https://www.google.com/search?q=METIS ENERGY LIMITED+uen
197301792W,METRO HOLDINGS LTD,82999,,"MANAGEMENT, PROPERTY INVESTMENT & HOLDING COMPANY",,https://www.google.com/search?q=METRO HOLDINGS LTD+uen
198703979K,MIYOSHI LIMITED,25997,26400,DESIGN & MANU OF MOULD & PRECISION PRESSED PARTS & TRDG IN RELATED PRDTS,"RESEARCH, DEVELOPMENT, TEST, ASSEMBLY, MANUFACTURE OF COMMS EQUIPMENT N.E.C.",https://www.google.com/search?q=MIYOSHI LIMITED+uen
196900250M,MUN SIONG ENGINEERING LIMITED,28300,42909,ENGINEERING SERVICE PROVIDER AND INVESTMENT HOLDING CO.,,https://www.google.com/search?q=MUN SIONG ENGINEERING LIMITED+uen
200508494D,NAM LEE PRESSED METAL INDUSTRIES LIMITED,25111,41009,MANUFACTURING BUILDING PRODUCTS (STEEL & METAL),,https://www.google.com/search?q=NAM LEE PRESSED METAL INDUSTRIES LIMITED+uen
199902564C,NANOFILM TECHNOLOGIES INTERNATIONAL LIMITED,32909,,NANOTECHNOLOGY SOLUTION PROVIDER OF ADVANCED MATERIAL AND NANO PRODUCTS.,,https://www.google.com/search?q=NANOFILM TECHNOLOGIES INTERNATIONAL LIMITED+uen
197802690R,NERA TELECOMMUNICATIONS LTD,62021,62022,,,https://www.google.com/search?q=NERA TELECOMMUNICATIONS LTD+uen
197702861N,NIPPECRAFT LIMITED,18113,,DESIGN MANUF MKTG & DIS OF PAPER-BASED DIARIES ORGANISERS & OTH STAT PDCTS,,https://www.google.com/search?q=NIPPECRAFT LIMITED+uen
198303940Z,NOEL GIFTS INTERNATIONAL LTD.,47749,68101,MARKETING OF GIFTS AND THE OPERATION OF A FRANCHISE PROGRAMME.,PROPERTY INVESTMENT AND DEVELOPMENT.,https://www.google.com/search?q=NOEL GIFTS INTERNATIONAL LTD.+uen
199904281D,NTEGRATOR HOLDINGS LIMITED,62090,41009,"SYS INTEGRATION OF VOICE, VIDEO & DATA COM NETWORKS, COM & OTH SVS","STRUCTURED CABLE/CIVIL WORKS FOR UNDERGROUND, ROAD AND IN BUILDINGS",https://www.google.com/search?q=NTEGRATOR HOLDINGS LIMITED+uen
199004330K,OSSIA INTERNATIONAL LIMITED,46411,46900,"WHOLESALE AND RETAILING OF FOOTWEAR, GOLF EQUIPMENT AND FASHION APPARELS",,https://www.google.com/search?q=OSSIA INTERNATIONAL LIMITED+uen
196400050E,OUE LIMITED,55101,82999,OPERATION OF HOTEL & RESTAURANTS &LETTING OF COMMERCIAL OFFICES & RETAIL MALLS,HOLDING OF INVESTMENTS,https://www.google.com/search?q=OUE LIMITED+uen
193200032W,OVERSEA-CHINESE BANKING CORPORATION LIMITED,64120,,,,https://www.google.com/search?q=OVERSEA-CHINESE BANKING CORPORATION LIMITED+uen
197600165Z,PENGUIN INTERNATIONAL LIMITED,30110,50014,TO BUILD AND CONSTRUCT VESSELS AND TO PROVIDE VESSEL MAINTENANCE SERVICES,OWNERS AND OPERATORS OF FERRIES AND LAUNCHES,https://www.google.com/search?q=PENGUIN INTERNATIONAL LIMITED+uen
199905792R,PNE INDUSTRIES LTD,47533,82999,,,https://www.google.com/search?q=PNE INDUSTRIES LTD+uen
197400888M,PSC CORPORATION LTD.,46900,63201,,,https://www.google.com/search?q=PSC CORPORATION LTD.+uen
199806124N,QIAN HU CORPORATION LIMITED,03209,47746,,SALES OF PETS AND SMALL ANIMALS,https://www.google.com/search?q=QIAN HU CORPORATION LIMITED+uen
198901967K,RAFFLES MEDICAL GROUP LTD,86201,64202,,,https://www.google.com/search?q=RAFFLES MEDICAL GROUP LTD+uen
198701138Z,RH PETROGAS LIMITED,09001,64202,OIL AND GAS EXPLORATION AND PRODUCTION,,https://www.google.com/search?q=RH PETROGAS LIMITED+uen
199604816E,SAKAE HOLDINGS LTD.,56122,10750,,,https://www.google.com/search?q=SAKAE HOLDINGS LTD.+uen
199308462C,SAMUDERA SHIPPING LINE LTD,50021,41001,,,https://www.google.com/search?q=SAMUDERA SHIPPING LINE LTD+uen
199407121D,SBI OFFSHORE LIMITED,46900,46100,GENERAL TRADING,PROJECT CONSULTANTS,https://www.google.com/search?q=SBI OFFSHORE LIMITED+uen
199206653M,SBS TRANSIT LTD,49211,49102,,,https://www.google.com/search?q=SBS TRANSIT LTD+uen
198103193M,SECOND CHANCE PROPERTIES LTD,68101,47711,PROPERTIES INVESTMENT AND INVESTMENT HOLDINGS,"RETAIL SALE OF APPARELS, GOLD, JEWELLERY AND GENERAL MERCHANDISE",https://www.google.com/search?q=SECOND CHANCE PROPERTIES LTD+uen
199202071D,SERIAL SYSTEM LTD,46522,64202,WHOLES TELECOMMUNICATION EQUIPMENT,,https://www.google.com/search?q=SERIAL SYSTEM LTD+uen
198300847M,SEROJA INVESTMENTS LIMITED,64201,,HOLDING COMPANIES,,https://www.google.com/search?q=SEROJA INVESTMENTS LIMITED+uen
199804583E,SHANAYA LIMITED,82110,64202,,,https://www.google.com/search?q=SHANAYA LIMITED+uen
198201025C,SIA ENGINEERING COMPANY LIMITED,30302,,"MAINTENANCE, REPAIR AND OVERHAUL OF AIRCRAFT AND ENGINE COMPONENT",,https://www.google.com/search?q=SIA ENGINEERING COMPANY LIMITED+uen
196400348D,SING INVESTMENTS & FINANCE LIMITED,64150,64201,HOLDING COMPANIES,,https://www.google.com/search?q=SING INVESTMENTS & FINANCE LIMITED+uen
197200078R,SINGAPORE AIRLINES LIMITED,51001,51002,,,https://www.google.com/search?q=SINGAPORE AIRLINES LIMITED+uen
199201623M,SINGAPORE POST LIMITED,53100,,,,https://www.google.com/search?q=SINGAPORE POST LIMITED+uen
199201624D,SINGAPORE TELECOMMUNICATIONS LIMITED,61011,,,,https://www.google.com/search?q=SINGAPORE TELECOMMUNICATIONS LIMITED+uen
197901237E,SITRA HOLDINGS (INTERNATIONAL) LIMITED,16291,46631,,,https://www.google.com/search?q=SITRA HOLDINGS (INTERNATIONAL) LIMITED+uen
198701451M,SPINDEX INDUSTRIES LIMITED,25993,28224,,,https://www.google.com/search?q=SPINDEX INDUSTRIES LIMITED+uen
199802208C,STARHUB LTD.,61011,64202,,,https://www.google.com/search?q=STARHUB LTD.+uen
198201457Z,SUNRISE SHARES HOLDINGS LTD.,66303,64202,"PROPERTY BUSINESS, HOSPITALITY AND FUND MANAGEMENT BUSINESS",INVESTMENT HOLDING BUSINESS,https://www.google.com/search?q=SUNRISE SHARES HOLDINGS LTD.+uen
198000057W,TAI SIN ELECTRIC LIMITED,27322,64202,,,https://www.google.com/search?q=TAI SIN ELECTRIC LIMITED+uen
197702806M,TAT SENG PACKAGING GROUP LTD,17022,46471,,"SALE OF PAPER BOXES, PAPERBOARD, PAPER PRODUCTS AND PACKAGING MATERIALS",https://www.google.com/search?q=TAT SENG PACKAGING GROUP LTD+uen
199802072R,TELECHOICE INTERNATIONAL LIMITED,46523,46900,,,https://www.google.com/search?q=TELECHOICE INTERNATIONAL LIMITED+uen
198403771D,TT INTERNATIONAL LIMITED,46900,64202,TRADING IN CONSUMER ELECTRICAL & ELECTRONICS PRODUCTS,INVESTMENT HOLDING,https://www.google.com/search?q=TT INTERNATIONAL LIMITED+uen
197100152R,UNITED OVERSEAS INSURANCE LIMITED,65124,65123,,"IMPORT, EXPORT IS CLASSIFIED AS MARINE INSURANCE",https://www.google.com/search?q=UNITED OVERSEAS INSURANCE LIMITED+uen
198402886H,VENTURE CORPORATION LIMITED,26201,,"PROVIDE MANUFACTURING, DESIGN, LOGISTIC SERVICES TO ELECTRONICS COMPANIES",,https://www.google.com/search?q=VENTURE CORPORATION LIMITED+uen
198100320K,VICOM LTD,95303,71200,,TECHNICAL TESTING AND ANALYSIS SERVICES TO A WIDE SPECTRUM OF INDUSTRIES,https://www.google.com/search?q=VICOM LTD+uen
